State,City,Case_Type,Resource_Name,Resource_Type,Contact,search_key
Kerala,Thiruvananthapuram,Dowry,Legal Clinic - Thiruvananthapuram 42,Legal Clinic,+91-9187631858,Dowry Thiruvananthapuram Kerala
Jammu & Kashmir,Srinagar,Senior Citizen Abuse,District Legal Services Authority - Srinagar 35,District Legal Services Authority,+91-7387101773,Senior Citizen Abuse Srinagar Jammu & Kashmir
Uttar Pradesh,Varanasi,Child Abuse,Legal Aid NGO - Varanasi 85,Legal Aid NGO,+91-9265748873,Child Abuse Varanasi Uttar Pradesh
Tamil Nadu,Chennai,Cyber Crime,Elder Help NGO - Chennai 86,Elder Help NGO,+91-7888327265,Cyber Crime Chennai Tamil Nadu
Karnataka,Mysore,Senior Citizen Abuse,Elder Help NGO - Mysore 96,Elder Help NGO,+91-8338802850,Senior Citizen Abuse Mysore Karnataka
Gujarat,Surat,Child Abuse,Legal Aid NGO - Surat 48,Legal Aid NGO,+91-9581351964,Child Abuse Surat Gujarat
Madhya Pradesh,Indore,Dowry,Childline - Indore 53,Childline,+91-7160655845,Dowry Indore Madhya Pradesh
Assam,Dibrugarh,Dowry,Childline - Dibrugarh 98,Childline,+91-8083985759,Dowry Dibrugarh Assam
Kerala,Kochi,Property Dispute,Legal Aid NGO - Kochi 98,Legal Aid NGO,+91-9622269684,Property Dispute Kochi Kerala
Haryana,Faridabad,Property Dispute,Legal Aid NGO - Faridabad 22,Legal Aid NGO,+91-7159012520,Property Dispute Faridabad Haryana
Chhattisgarh,Durg,Child Abuse,Cyber Helpline - Durg 69,Cyber Helpline,+91-9214387087,Child Abuse Durg Chhattisgarh
Haryana,Faridabad,Sexual Harassment,Childline - Faridabad 14,Childline,+91-8025116622,Sexual Harassment Faridabad Haryana
Assam,Guwahati,Caste Discrimination,Childline - Guwahati 33,Childline,+91-7305653153,Caste Discrimination Guwahati Assam
West Bengal,Howrah,Dowry,Childline - Howrah 1,Childline,+91-9996724549,Dowry Howrah West Bengal
Chhattisgarh,Raipur,Senior Citizen Abuse,Women's Helpline - Raipur 13,Women's Helpline,+91-7609014936,Senior Citizen Abuse Raipur Chhattisgarh
Uttar Pradesh,Lucknow,Child Abuse,Cyber Helpline - Lucknow 76,Cyber Helpline,+91-8408002850,Child Abuse Lucknow Uttar Pradesh
West Bengal,Kolkata,Child Abuse,Childline - Kolkata 19,Childline,+91-9784311115,Child Abuse Kolkata West Bengal
Jharkhand,Dhanbad,Child Abuse,Cyber Helpline - Dhanbad 51,Cyber Helpline,+91-8002443417,Child Abuse Dhanbad Jharkhand
Chhattisgarh,Raipur,Senior Citizen Abuse,Women's Helpline - Raipur 17,Women's Helpline,+91-9054458518,Senior Citizen Abuse Raipur Chhattisgarh
Telangana,Nizamabad,Dowry,Cyber Helpline - Nizamabad 72,Cyber Helpline,+91-7758325762,Dowry Nizamabad Telangana
Chhattisgarh,Raipur,Child Abuse,District Legal Services Authority - Raipur 93,District Legal Services Authority,+91-9273370815,Child Abuse Raipur Chhattisgarh
Kerala,Kozhikode,Property Dispute,Cyber Helpline - Kozhikode 29,Cyber Helpline,+91-8438759916,Property Dispute Kozhikode Kerala
Telangana,Hyderabad,Property Dispute,Legal Aid NGO - Hyderabad 27,Legal Aid NGO,+91-8858044763,Property Dispute Hyderabad Telangana
Haryana,Gurgaon,Property Dispute,Women's Helpline - Gurgaon 24,Women's Helpline,+91-8426624238,Property Dispute Gurgaon Haryana
West Bengal,Howrah,Caste Discrimination,Legal Clinic - Howrah 74,Legal Clinic,+91-9625576186,Caste Discrimination Howrah West Bengal
Jharkhand,Jamshedpur,Cyber Crime,Legal Aid NGO - Jamshedpur 69,Legal Aid NGO,+91-8254997825,Cyber Crime Jamshedpur Jharkhand
Jammu & Kashmir,Srinagar,Child Abuse,Women's Helpline - Srinagar 74,Women's Helpline,+91-8492528870,Child Abuse Srinagar Jammu & Kashmir
Maharashtra,Nagpur,Dowry,District Legal Services Authority - Nagpur 60,District Legal Services Authority,+91-9725951637,Dowry Nagpur Maharashtra
Maharashtra,Nagpur,Domestic Violence,Women's Helpline - Nagpur 72,Women's Helpline,+91-9486633219,Domestic Violence Nagpur Maharashtra
Jammu & Kashmir,Srinagar,Cyber Crime,Legal Clinic - Srinagar 5,Legal Clinic,+91-9901840399,Cyber Crime Srinagar Jammu & Kashmir
Jharkhand,Ranchi,Domestic Violence,Legal Clinic - Ranchi 67,Legal Clinic,+91-7966588042,Domestic Violence Ranchi Jharkhand
Andhra Pradesh,Visakhapatnam,Cyber Crime,Cyber Helpline - Visakhapatnam 43,Cyber Helpline,+91-7446907778,Cyber Crime Visakhapatnam Andhra Pradesh
Jammu & Kashmir,Srinagar,Caste Discrimination,Childline - Srinagar 56,Childline,+91-9678149529,Caste Discrimination Srinagar Jammu & Kashmir
Madhya Pradesh,Bhopal,Dowry,Elder Help NGO - Bhopal 46,Elder Help NGO,+91-9093021519,Dowry Bhopal Madhya Pradesh
Haryana,Panipat,Child Abuse,Elder Help NGO - Panipat 80,Elder Help NGO,+91-7089454091,Child Abuse Panipat Haryana
Delhi,New Delhi,Sexual Harassment,Women's Helpline - New Delhi 17,Women's Helpline,+91-9298325581,Sexual Harassment New Delhi Delhi
Odisha,Bhubaneswar,Caste Discrimination,District Legal Services Authority - Bhubaneswar 60,District Legal Services Authority,+91-7127368741,Caste Discrimination Bhubaneswar Odisha
Karnataka,Mysore,Caste Discrimination,Cyber Helpline - Mysore 45,Cyber Helpline,+91-8377418901,Caste Discrimination Mysore Karnataka
Madhya Pradesh,Jabalpur,Sexual Harassment,Legal Clinic - Jabalpur 49,Legal Clinic,+91-9249278234,Sexual Harassment Jabalpur Madhya Pradesh
Odisha,Bhubaneswar,Cyber Crime,Elder Help NGO - Bhubaneswar 9,Elder Help NGO,+91-9346787734,Cyber Crime Bhubaneswar Odisha
Maharashtra,Nagpur,Caste Discrimination,Cyber Helpline - Nagpur 48,Cyber Helpline,+91-9242509135,Caste Discrimination Nagpur Maharashtra
Kerala,Kozhikode,Dowry,Women's Helpline - Kozhikode 58,Women's Helpline,+91-9547365807,Dowry Kozhikode Kerala
Jammu & Kashmir,Srinagar,Domestic Violence,Cyber Helpline - Srinagar 82,Cyber Helpline,+91-7500198497,Domestic Violence Srinagar Jammu & Kashmir
Delhi,New Delhi,Sexual Harassment,District Legal Services Authority - New Delhi 93,District Legal Services Authority,+91-8923210131,Sexual Harassment New Delhi Delhi
Madhya Pradesh,Bhopal,Sexual Harassment,District Legal Services Authority - Bhopal 87,District Legal Services Authority,+91-8839940490,Sexual Harassment Bhopal Madhya Pradesh
Uttar Pradesh,Varanasi,Domestic Violence,Cyber Helpline - Varanasi 15,Cyber Helpline,+91-9823195398,Domestic Violence Varanasi Uttar Pradesh
Assam,Dibrugarh,Domestic Violence,Childline - Dibrugarh 57,Childline,+91-9786059722,Domestic Violence Dibrugarh Assam
Odisha,Cuttack,Property Dispute,Cyber Helpline - Cuttack 97,Cyber Helpline,+91-8574173020,Property Dispute Cuttack Odisha
Haryana,Gurgaon,Caste Discrimination,Women's Helpline - Gurgaon 23,Women's Helpline,+91-9158023862,Caste Discrimination Gurgaon Haryana
Haryana,Faridabad,Sexual Harassment,Cyber Helpline - Faridabad 79,Cyber Helpline,+91-7574575188,Sexual Harassment Faridabad Haryana
Delhi,New Delhi,Senior Citizen Abuse,Legal Aid NGO - New Delhi 97,Legal Aid NGO,+91-9681798469,Senior Citizen Abuse New Delhi Delhi
